#################################################
#Log gerado em: Thu Sep  6 12:27:23 2012

#
#	Parâmetros utilizados
# Janela = 10
# Tempo = 4 min
# m = 5
# r = 2
# Nº de métricas = 2
#
# Tempo	Entropia
0	0.000000
3	0.000000
6	0.000000
9	0.000000
12	0.000000
15	0.000000
18	0.000000
21	0.000000
24	0.000000
27	0.200000
30	0.300000
33	0.232584
36	0.419382
39	0.400000
42	0.532437
45	0.532437
48	0.500000
51	0.752575
54	0.600000
57	0.698970
60	0.752575
63	0.784318
66	0.500000
69	0.500000
72	0.698970
75	0.784318
78	0.600000
81	0.955056
84	0.784318
87	0.698970
90	0.752575
93	0.698970
96	0.559176
99	0.627454
102	0.627454
105	0.500000
108	0.636704
111	0.602060
